,steps,metric,training_loss,validation_loss,validation_acc
2927,2871,training_loss,4.861087322235107,,
2928,2872,training_loss,4.763028144836426,,
2929,2873,training_loss,5.02088737487793,,
2930,2874,training_loss,12.716926574707031,,
2931,2875,training_loss,9.95856761932373,,
2932,2876,training_loss,4.878664016723633,,
2933,2877,training_loss,5.240095615386963,,
2934,2878,training_loss,4.568886756896973,,
2935,2879,training_loss,4.402789115905762,,
2936,2880,training_loss,4.498382568359375,,
2937,2881,training_loss,42.32167434692383,,
2938,2882,training_loss,5.165961265563965,,
2939,2883,training_loss,5.80592679977417,,
2940,2884,training_loss,4.818131446838379,,
2941,2885,training_loss,5.116231441497803,,
2942,2886,training_loss,5.708249092102051,,
2943,2887,training_loss,4.272424697875977,,
2944,2888,training_loss,40.204925537109375,,
2945,2889,training_loss,12.783600807189941,,
2946,2890,training_loss,5.530335903167725,,
2947,2891,training_loss,5.635619163513184,,
2948,2892,training_loss,6.011826515197754,,
2949,2893,training_loss,9.604955673217773,,
2950,2894,training_loss,36.579315185546875,,
2951,2895,training_loss,4.414589881896973,,
2952,2896,training_loss,9.205255508422852,,
2953,2897,training_loss,4.78525972366333,,
